date,close,volume
2025-12-25,7410.71,16841420100.0
2025-12-26,7458.84,19927688400.0
2025-12-29,7430.61,19884433800.0
2025-12-30,7458.94,19620361500.0
2025-12-31,7465.57,19442774300.0
2026-01-05,7651.2,25185386300.0
2026-01-06,7814.14,31312510200.0
2026-01-07,7875.08,29390344000.0
2026-01-08,7894.54,29356173500.0
2026-01-09,8056.69,31462467400.0
2026-01-12,8249.13,33523628600.0
2026-01-13,8143.28,36413103300.0
2026-01-14,8227.7,42276600200.0
2026-01-15,8223.27,31359583000.0
2026-01-16,8232.67,28197904200.0
2026-01-19,8287.95,26149738200.0
2026-01-20,8247.8,28986446000.0
2026-01-21,8340.11,24330438100.0
2026-01-22,8387.6,26880524300.0
2026-01-23,8590.17,31969006900.0
2026-01-26,8506.69,34928559700.0
2026-01-27,8548.93,30285260600.0
2026-01-28,8601.16,31177425700.0
2026-01-29,8517.84,35419838700.0
2026-01-30,8370.52,32894717000.0
2026-02-02,8037.05,29964602200.0
2026-02-03,8286.7,27222713600.0
2026-02-04,8299.06,26886027700.0
2026-02-05,8146.11,23184051500.0
2026-02-06,8146.41,21864214400.0
2026-02-09,8311.28,21166756600.0
2026-02-10,8306.44,19580622000.0
2026-02-11,8325.81,20401970300.0
2026-02-12,8423.57,21213831800.0
2026-02-13,8299.59,20278572500.0
2026-02-24,8392.91,22462927800.0
2026-02-25,8527.56,27789338900.0
2026-02-26,8557.22,25411176500.0
2026-02-27,8658.45,28036116700.0
2026-03-02,8658.33,33903229600.0
2026-03-03,8281.61,34615390600.0
2026-03-04,8248.95,27210771400.0
2026-03-05,8309.17,25634345400.0
2026-03-06,8360.33,23451496000.0
2026-03-09,8279.48,28651851000.0
2026-03-10,8410.3,23994135800.0
2026-03-11,8403.33,26448738900.0
2026-03-12,8359.47,28243650400.0
2026-03-13,8239.8,28813099000.0
2026-03-16,8185.15,25620598200.0
2026-03-17,8016.03,23013280000.0
2026-03-18,8096.43,20649392300.0
2026-03-19,7877.09,21974486600.0
2026-03-20,7760.04,21944878800.0
2026-03-23,7440.75,27156102400.0
2026-03-24,7597.37,22896641800.0
2026-03-25,7767.67,24071155400.0
2026-03-26,7642.13,20621612600.0
2026-03-27,7737.61,18820506600.0
2026-03-30,7753.72,19783856900.0
2026-03-31,7617.33,19908603500.0
2026-04-01,7750.09,17596067000.0
2026-04-02,7605.29,17208487300.0
2026-04-03,7534.94,15163735600.0
2026-04-07,7571.11,14696135700.0
2026-04-08,7945.15,23193661200.0
2026-04-09,7898.63,19055565000.0
2026-04-10,7969.36,20340435100.0
2026-04-13,7967.7,19494869500.0
2026-04-14,8088.57,21429567200.0
2026-04-15,8044.08,20365606600.0
2026-04-16,8180.08,18845568300.0
2026-04-17,8214.19,19157884000.0
2026-04-20,8290.02,21376402000.0
2026-04-21,8270.33,20183631700.0
2026-04-22,8376.18,21333723600.0
2026-04-23,8295.21,24948698900.0
2026-04-24,8247.88,22231189300.0
2026-04-27,8299.05,22459580200.0
2026-04-28,8203.96,22010913000.0
2026-04-29,8342.42,23087201700.0
2026-04-30,8349.51,24755465200.0
2026-05-06,8588.44,27464745200.0
2026-05-07,8696.8,27099417900.0
2026-05-08,8694.17,27114353500.0
2026-05-11,8839.74,28833019600.0
2026-05-12,8785.98,26987096800.0
2026-05-13,8918.24,25409688800.0
2026-05-14,8670.16,28950256600.0
2026-05-15,8536.34,27096176200.0
2026-05-18,8554.24,23109341700.0
2026-05-19,8627.95,24386882000.0
2026-05-20,8656.31,23041869700.0
2026-05-21,8419.84,27948915800.0
2026-05-22,8576.94,22161039100.0
2026-05-25,8703.89,23505289000.0
2026-05-26,8658.62,24710784400.0
2026-05-27,8530.98,25911673400.0
2026-05-28,8563.22,24224000600.0
2026-05-29,8359.56,28119061600.0
2026-06-01,8274.21,25817502700.0
2026-06-02,8321.43,23958969600.0
2026-06-03,8362.16,25357653100.0
2026-06-04,8356.74,23082197600.0
2026-06-05,8251.14,24708934700.0
2026-06-08,7963.45,24479319800.0
2026-06-09,8176.18,20929297800.0
2026-06-10,8063.86,21091009800.0
2026-06-11,8035.7788,196857776.0
